pattern,is_exact
+%08505%%12%%,0
+%08505%1%8%%,0
+%08505%10%%%,0
+%08505%255%%,0
+%08505%507%%,0
+%085050261%%,0
+%08505200%%%,0
+%085052008%%,0
+%085052052%%,0
+%085053%%6%%,0
+%0850532%8%%,0
+%08505323%%%,0
+%085053257%%,0
+%085053262%%,0
+%085053272%%,0
+%085053303%%,0
+%085053310%%,0
+%085055446%%,0
+%085055707%%,0
+%085055708%%,0
+%085056005%%,0
+%085056007%%,0
+%085058600%%,0
+%085058601%%,0
+%085058603%%,0
+%085067812%%,0
+%08507%%17%%,0
+%0850701%5%%,0
+%0850701%8%%,0
+%085070122%%,0
+%085071101%%,0
+%08507113%%%,0
+%08508408%%%,0
+%085088%0%%%,0
+%08508860%%%,0
+%1662457%%,0
+%2816259%%,0
+%2926951%%,0
+%43359%1%%,0
+%542886%2%%,0
+%614%6324%%,0
+%63%%1%53%%,0
+2%%72120%%%,0
+2%3%%203%%,0
+2%3%5368%%,0
+2%34212%3%%,0
+2%34214%3%%,0
+2%352%203%%,0
+24%45921%%,0
+243%53%8%%,0
+243%5368%%,0
+2432592%%%,0
+2436%921%%,0
+24395921%%,0
+26%%21%5%%%,0
+26%4211%%%%,0
+26%4212%%%%,0
+263%1459%%,0
+263%2%%53%%,0
+263%21%53%%,0
+263%212%3%%,0
+2634212%3%%,0
+3%%444%51%%,0
+3%3353%%%%%,0
+3%6%4465%%,0
+316123456%%,0
+32926951%%,0
+37%8%%%51%%,0
+4%%7%3%5533%%,0
+4%151425402%%,0
+4%176340213%%,0
+44%2%362%%%,0
+44%213%2%%%,0
+44%423%858%%,0
+44%8600641%%,0
+441%057106%%,0
+441%135477%%,0
+4412057106%%,0
+441212840%%%,0
+4412349032%%,0
+441613549%%%,0
+4416173817%%,0
+44186%68%1%%,0
+442%346827%%,0
+442%351946%%,0
+44203%%30%%%,0
+44203468%%%%,0
+442039745%%%,0
+4432926951%%,0
+4473%2%421%%,0
+44734078%5%%,0
+4475517559%%,0
+447585544%%%,0
+4478%00%41%%,0
+44786%%412%%,0
+49%5%59%3%7%%,0
+491%1%%79%6%%,0
+491515%%%9%%%,0
+6%5179685%%,0
+6%653%%%%%%,0
+6325%7154%%,0
+63741%631%%,0
+663251359%%,0
+667896%24%%,0
+7%066%6%7%%,0
+7%06636%7%%,0
+9%%%%%82%9%%,0
+9%%%2%2%%4%%,0
+9%%%2%34%%,0
+9%%%291%81%%,0
+9%%%433418%%,0
+9%%%798%49%%,0
+9%%1%%4364%%,0
+9%%1%34955%%,0
+9%%1%47%%%%%,0
+9%%1%54715%%,0
+9%%1%59%%%%%,0
+9%%1%7%4%9%%,0
+9%%1%8%449%%,0
+9%%1%9%%%5%%,0
+9%%1%91%%%%%,0
+9%%1%93195%%,0
+9%%1%93966%%,0
+9%%1%945%3%%,0
+9%%1%94543%%,0
+9%%1%94598%%,0
+9%%1%964%1%%,0
+9%%1%97996%%,0
+9%%1%986%%%%,0
+9%%1%986%3%%,0
+9%%12%%%1%%%,0
+9%%125242%%%,0
+9%%1252422%%,0
+9%%129%92%%%,0
+9%%16%%815%%,0
+9%%16%17%%%%,0
+9%%16%3%3%%%,0
+9%%16%4%%9%%,0
+9%%16%4%1%%%,0
+9%%16%5%78%%,0
+9%%1638%58%%,0
+9%%165933%%%,0
+9%%1661331%%,0
+9%%167%637%%,0
+9%%1693998%%,0
+9%%169995%%%,0
+9%%1699956%%,0
+9%%22%4214%%,0
+9%%24482%%%%,0
+9%%3%%4%%7%%,0
+9%%3%%87%%%%,0
+9%%3%3%7%1%%,0
+9%%3%33514%%,0
+9%%3%355%6%%,0
+9%%3%455%%%%,0
+9%%3%455%5%%,0
+9%%3%455%8%%,0
+9%%3%97367%%,0
+9%%3146943%%,0
+9%%33388%8%%,0
+9%%3641%4%%%,0
+9%%38%8282%%,0
+9%%391%298%%,0
+9%%3977%%%%%,0
+9%%3988423%%,0
+9%%424%148%%,0
+9%%42619%8%%,0
+9%%4328%49%%,0
+9%%4369%3%%%,0
+9%%446%14%%%,0
+9%%45%324%%,0
+9%%48829%6%%,0
+9%%4886186%%,0
+9%%4886212%%,0
+9%%4962%%2%%,0
+9%%5%222%%%%,0
+9%%5%4%%5%%%,0
+9%%5%4%417%%,0
+9%%5%52%%9%%,0
+9%%5%53274%%,0
+9%%66%3818%%,0
+9%%6671811%%,0
+9%1%5%32%%%,0
+9%14%%324%%,0
+9%145%3%4%%,0
+9%145%324%%,0
+9%2%2%55%6%%,0
+9%2%238%73%%,0
+9%2%24%3%7%%,0
+9%2%2455%%%%,0
+9%2%2455%5%%,0
+9%2%2455%8%%,0
+9%2%27%62%%%,0
+9%2%27%895%%,0
+9%2%27%993%%,0
+9%2%292%%7%%,0
+9%2%2939%6%%,0
+9%2%294538%%,0
+9%2%294543%%,0
+9%2%294565%%,0
+9%2%294596%%,0
+9%2%294598%%,0
+9%2%295267%%,0
+9%2%2963%9%%,0
+9%2%2975%8%%,0
+9%2%2988%6%%,0
+9%2%299%%6%%,0
+9%2%626667%%,0
+9%2%64%52%%%,0
+9%2%654728%%,0
+9%2%6558%%%%,0
+9%2%65874%%%,0
+9%2%67%657%%,0
+9%21%22%23%%,0
+9%21%22599%%,0
+9%21%2275%%%,0
+9%21%24%%%%%,0
+9%21%24%%8%%,0
+9%21%54252%%,0
+9%21%54728%%,0
+9%21%9121%%%,0
+9%212%%132%%,0
+9%212%%6%%%%,0
+9%212%%8%%%%,0
+9%212%4%92%%,0
+9%212%4771%%,0
+9%212%5%19%%,0
